,part,number_of_prizes,prize_amount,total_prize_amount,file_date
0,I,2,1000000,2000000,01072025
1,II,80,100000,8000000,01072025
2,III,158,50000,7900000,01072025
3,IV,318,25000,7950000,01072025
4,V,797,10000,7970000,01072025
5,VI,1590,5000,7950000,01072025
6,VII,16708,1000,16708000,01072025
7,VIII,50124,500,25062000,01072025
8,IX,1860128,100,186012800,01072025
9,X,1860128,50,93006400,01072025
10,XI,2205679,25,55141975,01072025
0,I,2,1000000,2000000,01082025
1,II,75,100000,7500000,01082025
2,III,151,50000,7550000,01082025
3,IV,301,25000,7525000,01082025
4,V,753,10000,7530000,01082025
5,VI,1506,5000,7530000,01082025
6,VII,15854,1000,15854000,01082025
7,VIII,47562,500,23781000,01082025
8,IX,1686065,100,168606500,01082025
9,X,1686065,50,84303250,01082025
10,XI,2567070,25,64176750,01082025
0,I,2,1000000,2000000,01092025
1,II,76,100000,7600000,01092025
2,III,150,50000,7500000,01092025
3,IV,303,25000,7575000,01092025
4,V,755,10000,7550000,01092025
5,VI,1511,5000,7555000,01092025
6,VII,15910,1000,15910000,01092025
7,VIII,47730,500,23865000,01092025
8,IX,1692128,100,169212800,01092025
9,X,1692128,50,84606400,01092025
10,XI,2576306,25,64407650,01092025
0,I,2,1000000,2000000,01102025
1,II,76,100000,7600000,01102025
2,III,151,50000,7550000,01102025
3,IV,304,25000,7600000,01102025
4,V,759,10000,7590000,01102025
5,VI,1518,5000,7590000,01102025
6,VII,15971,1000,15971000,01102025
7,VIII,47913,500,23956500,01102025
8,IX,1698537,100,169853700,01102025
9,X,1698537,50,84926850,01102025
10,XI,2586082,25,64652050,01102025
0,I,2,1000000,2000000,01122025
1,II,77,100000,7700000,01122025
2,III,153,50000,7650000,01122025
3,IV,307,25000,7675000,01122025
4,V,769,10000,7690000,01122025
5,VI,1535,5000,7675000,01122025
6,VII,16154,1000,16154000,01122025
7,VIII,48462,500,24231000,01122025
8,IX,1718037,100,171803700,01122025
9,X,1718037,50,85901850,01122025
10,XI,2615792,25,65394800,01122025
0,I,2,1000000,2000000,02062025
1,II,79,100000,7900000,02062025
2,III,159,50000,7950000,02062025
3,IV,317,25000,7925000,02062025
4,V,792,10000,7920000,02062025
5,VI,1585,5000,7925000,02062025
6,VII,16649,1000,16649000,02062025
7,VIII,49947,500,24973500,02062025
8,IX,1853552,100,185355200,02062025
9,X,1853552,50,92677600,02062025
10,XI,2197831,25,54945775,02062025
0,I,2,1000000,2000000,03112025
1,II,76,100000,7600000,03112025
2,III,153,50000,7650000,03112025
3,IV,305,25000,7625000,03112025
4,V,761,10000,7610000,03112025
5,VI,1525,5000,7625000,03112025
6,VII,16042,1000,16042000,03112025
7,VIII,48126,500,24063000,03112025
8,IX,1706146,100,170614600,03112025
9,X,1706146,50,85307300,03112025
10,XI,2597666,25,64941650,03112025
